manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
RFS,DAX8-59W,DAX859W,8,2.44,41.3,https://www.rfsworld.com/pim/product/html/DAX8-59AC
RFS/Cablewave,DAX865,DAX865,8,2.44,42.2,https://www.rfsworld.com/pim/product/html/DAX8-65AC
CABLEWAVE SYSTEMS,DAX8-65,DAX865,8,2.44,42.2,https://www.rfsworld.com/pim/product/html/DAX8-65AD
RFS,DAX8-65A,DAX865A,8,2.44,42.2,https://www.rfsworld.com/pim/product/html/DAX8-65AC
RFS,DAX8-W59A,DAX8W59A,8,2.44,41.3,http://www.dadehnama.ir/uploads/4_313508659575390274.pdf
RFS,DBUX12-W60W103ACC,DBUX12W60W103ACC,12,3.66,45.1,https://www.rfsworld.com/pim/product/pdf/DBUX12-W60W103ACC
RFS,DBUX6-W60W103A,DBUX6W60W103A,6,1.83,39.3,https://www.rfsworld.com/pim/product/pdf/DBUX6-W60W103ADB
RFS,DBUX6-W60W103A_L,DBUX6W60W103AL,6,1.83,39.3,https://www.rfsworld.com/pim/product/pdf/DBUX6-W60W103ADB
RFS,DBUX8-W60W103ACC,DBUX8W60W103ACC,8,2.44,41.7,https://www.rfsworld.com/pim/product/pdf/DBUX8-W60W103ACC
RFS,DBUX8-W60W103A_L,DBUX8W60W103AL,8,2.44,41.7,"https://www.rfsworld.com/images/sma/rpe/dbux8/dbux8-w60w103a_l%20(5.925-7.125),%2020201104.pdf"
RFS,DBX8-W60W103,DBX8W60W103,8,2.44,41.7,https://www.rfsworld.com/pim/product/pdf/DBUX8-W60W103ACC
RFS,DBX8-W60W103ACC_L,DBX8W60W103ACCL,8,2.44,41.7,https://www.rfsworld.com/pim/product/pdf/DBUX8-W60W103ACC
GABRIEL,DD10-64BSE,DD1064BSE,10,3.05,44,Comsearch's Frequency Coordination Database
GABRIEL,DD10P-1J23107,DD10P1J23107,10,3.05,42,Comsearch's Frequency Coordination Database
GABRIEL,DD12-64B,DD1264B,12,3.66,45.4,Comsearch's Frequency Coordination Database
GABRIEL,DD12P-59CSE,DD12P59CSE,12,3.66,44.7,Comsearch's Frequency Coordination Database
GABRIEL,DD6-64DSE,DD664DSE,6,1.83,40,Comsearch's Frequency Coordination Database
GABRIEL,DD6W-5971,DD6W5971,6,1.83,39.5,Comsearch's Frequency Coordination Database
GABRIEL,DD8-64BSE,DD864BSE,8,2.44,42.2,Comsearch's Frequency Coordination Database
GABRIEL,DD8-64DSE,DD864DSE,8,2.44,42,Comsearch's Frequency Coordination Database
GABRIEL,DD8W-5971,DD8W5971,8,2.44,40.4,Comsearch's Frequency Coordination Database
GABRIEL,DDP 10P-59BSE,DDP10P59BSE,10,3.05,43.1,Comsearch's Frequency Coordination Database
Gabriel Electronics,DDP6P-59,DDP6P59,6,1.83,38.5,Comsearch's Frequency Coordination Database
GABRIEL,DDP6P-59CSE,DDP6P59CSE,6,1.83,39,Comsearch's Frequency Coordination Database
GABRIEL,DDP8P-59,DDP8P59,8,2.44,40.7,Comsearch's Frequency Coordination Database
GABRIEL,DDP8P-59BSE,DDP8P59BSE,8,2.44,41.2,Comsearch's Frequency Coordination Database
GABRIEL,DFB8-64ASE,DFB864ASE,8,2.44,42.3,Typo should be DRFB864ASE. Using that gain.
GABRIEL,DFRB6-64,DFRB664,6,1.83,39.5,Typo should be DRFB664 using that gain
RADIO WAVES,DP6-59,DP659,6,1.83,38.3,Comsearch's Frequency Coordination Database
RADIO WAVES,DP6-64,DP664,6,1.83,38.8,Comsearch's Frequency Coordination Database
GABRIEL,DP6P-1J23A,DP6P1J23A,6,1.83,38.79,Comsearch's Frequency Coordination Database
RADIO WAVES,DPD6-59,DPD659,6,1.83,38.1,Comsearch's Frequency Coordination Database
GABRIEL,DRF8-59BSE,DRF859BSE,8,2.44,41.3,Typo should be DRFB859BSE. Using that gain.
GABRIEL,DRFB10-59BSE,DRFB1059BSE,10,3.05,43.2,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10-59CSE,DRFB1059CSE,10,3.05,43.2,Comsearch's Frequency Coordination Database
GABRIEL,DRFB-10-59CSE,DRFB1059CSE,10,3.05,43.2,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10-64,DRFB1064,10,3.05,44,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10-64A,DRFB1064A,10,3.05,43.9,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10-64ASE,DRFB1064ASE,10,3.05,43.9,Comsearch's Frequency Coordination Database
GABRIEL,DRFB10 64CSE,DRFB1064CSE,10,3.05,44,Comsearch's Frequency Coordination Database
